Url;StatusCode
http://kinoeros.msk.ru;200
http://bestplay.org.ua;200
http://cinematograf.net;200
http://kinoclub.com.ua;-1
http://moviestape.com;200
http://relizfilms.com;-1
http://www.journal-plaza.net;200
http://320w.net;200
http://megawara.ws;200
http://www.reviewsoft.com.ua;-1
http://forallclub.info;-1
http://smi.dp.ua;200
http://windowz.if.ua;-1
http://newlast.net;-1
http://soft.rozetka.com.ua;200
http://www.symbian.net.ua;-1
http://www.mypocket.com.ua;-1
http://se-soft.com.ua;-1
http://www.prokino.in.ua;200
http://soft-files.net.ua;-1
http://soft.chuguev.net;-1
http://archick.com.ua;-1
http://woofex.ru;200
http://broportal.com;-1
http://filmovonline.net;200
http://novsportal.ru;-1
http://www.mysoftware.ws;200
http://ipguard.org.ua;-1
http://skisoft.com.ua;-1
http://www.kalitva.ru;200
http://newsoft.com.ua;200
http://borifan.com.ua;200
http://file-online.ru;200
http://www.yakaboo.ua;200
http://www.eurostar.com.ua;200
http://pyppet.com;200
http://radiolan.dp.ua;-1
http://onlykola.org.ua;200
http://realwm.biz;-1
http://home-soft.com.ua;200
http://freesoftspace.com;-1
http://softdok.com;200
http://my-nod32.ru;-1
http://1kino.com.ua;200
http://smartsoft.kiev.ua;200
http://nfile.org;-1
http://megalifes.net;200
http://www.zaza.net.ua;-1
http://stalina.net;200
http://www.kinoactors.ru;200
http://www.mir-knig.ru;200
http://www.warez-portal.kiev.ua;200
http://vipsite.ws;200
http://novirus.com.ua;-1
http://mnogosoft.com;-1
http://zonakino.net;200
http://vinwarez.com.ua;-1
http://soft24.tim.com.ua;200
http://softfiles.info;-1
http://webfiles.org.ua;-1
http://softwares.net.ua;-1
http://pocket-soft.com.ua;-1
http://mastersoft.dp.ua;-1
http://pos-troi.info;200
http://skachok.info;-1
http://premiumlife.biz;200
http://www.hotpro.ua/;200
http://warezof.net;-1
http://chaynikoff.net;-1
http://soft-filesnetua.s16.yourdomain.com.ua;200
http://scachat-besplatno.com.ua;-1
http://protv.net.ua;200
http://soft-neomak.net.ua;-1
http://zloy.net.ua;-1
http://ukrwerez.com;200
http://svwarez.org.ua;-1
http://www.dliavseh.info;-1
http://www.slavkino.net;-1
http://soft4free.com.ua;-1
http://ceeper.org.ua;-1
http://all4you.in.ua;200
http://kinoplay.rv.ua;-1
http://www.softnavigator.ru;-1
http://1024kbytes.com;200
http://softfree.co.ua;-1
http://pro100-soft.ru;200
http://mega-shara.biz;-1
http://tabulorasa.net;-1
http://www.cybersoft.ru;200
http://artjunkies.net;200
http://whiteportal.ru;-1
http://www.halyavka.com;200
http://www.softner.net;200
http://soft.triolan.com.ua;-1
http://ku4asofta.info;-1
http://dirrip.com;200
http://megabox.biz;-1
http://warez-slov.net;-1
http://narutozona.ru;200
http://www.vipportal.ws;200
http://krutok.ru;200
http://files4all.net;200
http://freeware.dn.ua;-1
http://grup.org.ua;-1
http://www.vhd-soft.com;200
http://dokkino.ru;200
http://topsoftkeys.info;-1
http://freebooks.com.ua;-1
http://kazachya.net;-1
